ID,Timestamp,Passenger Count
454,28/12/2025,8
455,28/12/2025,4
456,28/12/2025,6
457,28/12/2025,8
458,28/12/2025,4
459,28/12/2025,5
460,28/12/2025,7
461,28/12/2025,6
462,28/12/2025,6
463,28/12/2025,6
464,28/12/2025,9
465,28/12/2025,8
466,28/12/2025,6
467,28/12/2025,4
468,28/12/2025,3
469,28/12/2025,5
470,28/12/2025,5
471,28/12/2025,5
472,28/12/2025,7
473,28/12/2025,4
474,28/12/2025,5
475,28/12/2025,5
476,28/12/2025,2
477,28/12/2025,3
478,28/12/2025,6
479,28/12/2025,5
480,28/12/2025,6
481,28/12/2025,4
482,28/12/2025,4
483,28/12/2025,2
484,28/12/2025,3
485,28/12/2025,4
486,28/12/2025,5
487,28/12/2025,8
488,28/12/2025,9
489,28/12/2025,6
490,28/12/2025,7
491,28/12/2025,8
492,28/12/2025,4
493,28/12/2025,8
494,28/12/2025,6
495,28/12/2025,9
496,28/12/2025,7
497,28/12/2025,9
498,28/12/2025,8
499,28/12/2025,6
500,28/12/2025,6
501,28/12/2025,6
502,28/12/2025,9
503,28/12/2025,5
504,28/12/2025,5
505,28/12/2025,7
506,28/12/2025,6
507,28/12/2025,7
508,28/12/2025,4
509,28/12/2025,7
510,28/12/2025,9
511,28/12/2025,6
512,28/12/2025,4
513,28/12/2025,4
514,28/12/2025,5
515,28/12/2025,6
516,28/12/2025,5
517,28/12/2025,4
518,28/12/2025,4
519,28/12/2025,6
520,28/12/2025,6
521,28/12/2025,4
522,28/12/2025,7
523,28/12/2025,6
524,28/12/2025,4
525,28/12/2025,6
526,28/12/2025,6
527,28/12/2025,5
528,28/12/2025,2
529,28/12/2025,7
530,28/12/2025,6
531,28/12/2025,2
532,28/12/2025,3
533,28/12/2025,5
534,28/12/2025,7
535,28/12/2025,7
536,28/12/2025,3
537,28/12/2025,4
538,28/12/2025,2
539,28/12/2025,2
